order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
01A,Welcome,Introduction,welcome/intro,info-circle,/lessons/welcome/intro,Brian welcomes you to the course and sets expectations of what you will learn in the Complete Intro to SQL and PostgreSQL
01B,Welcome,Docker,welcome/docker,info-circle,/lessons/welcome/docker,""
02A,Databases and Tables,Databases,databases-and-tables/databases,database,/lessons/databases-and-tables/databases,""
02B,Databases and Tables,Tables,databases-and-tables/tables,database,/lessons/databases-and-tables/tables,""
03A,Data,Inserts,data/inserts,table,/lessons/data/inserts,""
03B,Data,Updates and Deletes,data/updates-and-deletes,table,/lessons/data/updates-and-deletes,""
03C,Data,Selects,data/selects,table,/lessons/data/selects,""
03D,Data,Like and Functions,data/like-and-functions,table,/lessons/data/like-and-functions,""
03E,Data,Node.js and PostgreSQL,data/nodejs-and-postgresql,table,/lessons/data/nodejs-and-postgresql,""
03F,Data,Project,data/project,table,/lessons/data/project,""
04A,Joins and Constraints,Relationships,joins-and-constraints/relationships,code-merge,/lessons/joins-and-constraints/relationships,""
04B,Joins and Constraints,Other Types of Joins,joins-and-constraints/other-types-of-joins,code-merge,/lessons/joins-and-constraints/other-types-of-joins,""
04C,Joins and Constraints,Foreign Keys,joins-and-constraints/foreign-keys,code-merge,/lessons/joins-and-constraints/foreign-keys,""
04D,Joins and Constraints,Many-to-Many Relationships,joins-and-constraints/many-to-many,code-merge,/lessons/joins-and-constraints/many-to-many,""
04E,Joins and Constraints,Constraints,joins-and-constraints/constraints,code-merge,/lessons/joins-and-constraints/constraints,""
04F,Joins and Constraints,Project,joins-and-constraints/project,code-merge,/lessons/joins-and-constraints/project,""
05A,JSONB,Unstructured Data,jsonb/unstructured-data,code,/lessons/jsonb/unstructured-data,""
05B,JSONB,JSONB,jsonb/jsonb,code,/lessons/jsonb/jsonb,""
05C,JSONB,When to Use,jsonb/when-to-use,code,/lessons/jsonb/when-to-use,""
06A,Aggregation,Aggregation,aggregation/aggregation,square-plus,/lessons/aggregation/aggregation,""
06B,Aggregation,HAVING,aggregation/having,square-plus,/lessons/aggregation/having,""
07A,Functions Triggers and Procedures,Functions,functions-triggers-and-procedures/functions,stairs,/lessons/functions-triggers-and-procedures/functions,""
07B,Functions Triggers and Procedures,Procedures,functions-triggers-and-procedures/procedures,stairs,/lessons/functions-triggers-and-procedures/procedures,""
07C,Functions Triggers and Procedures,Triggers,functions-triggers-and-procedures/triggers,stairs,/lessons/functions-triggers-and-procedures/triggers,""
08A,The Movie Database,Exercises,the-movie-database/exercises,clapperboard,/lessons/the-movie-database/exercises,""
08B,The Movie Database,Answers,the-movie-database/answers,clapperboard,/lessons/the-movie-database/answers,""
08C,The Movie Database,pgAdmin,the-movie-database/pgadmin,clapperboard,/lessons/the-movie-database/pgadmin,""
09A,Query Performance,Explain,query-performance/explain,fire,/lessons/query-performance/explain,""
09B,Query Performance,Indexes,query-performance/indexes,fire,/lessons/query-performance/indexes,""
09C,Query Performance,Create an Index,query-performance/create-an-index,fire,/lessons/query-performance/create-an-index,""
09D,Query Performance,GIN,query-performance/gin,fire,/lessons/query-performance/gin,""
09E,Query Performance,Partial Indexes,query-performance/partial-indexes,fire,/lessons/query-performance/partial-indexes,""
09F,Query Performance,Derivative Value Indexes,query-performance/derivative-value-indexes,fire,/lessons/query-performance/derivative-value-indexes,""
10A,Views,Basic Views,views/basic-views,eye,/lessons/views/basic-views,""
10B,Views,Materialized Views,views/materialized-views,eye,/lessons/views/materialized-views,""
11A,Subqueries,How to Subquery,subqueries/how-to-subquery,circle-dot,/lessons/subqueries/how-to-subquery,""
11B,Subqueries,Arrays,subqueries/arrays,circle-dot,/lessons/subqueries/arrays,""
12A,Transactions,Transactions,transactions/transactions,envelopes-bulk,/lessons/transactions/transactions,""
13A,Window Functions,Window Functions,window-functions/window-functions,magnifying-glass-arrow-right,/lessons/window-functions/window-functions,""
14A,Self Join,Self Join,self-join/self-join,arrow-rotate-left,/lessons/self-join/self-join,""
15A,Conclusion,Congrats,conclusion/congrats,face-smile-beam,/lessons/conclusion/congrats,""
15B,Conclusion,Project,conclusion/project,face-smile-beam,/lessons/conclusion/project,""
